#,单词,解释,笔记
0,"skips over","",
1,"erroneous data","",
2,"echo printing","",
3,"verification","- n. 证明;证实
- (指通过经验)证明(某命题正确)
- 核实,查对;查清(指履行武器协议中所规定稽核程序的过程)

形容词:  
verificative",
4,"prompt","- adj. 敏捷的，迅速的；立刻的
- vt. 促进；激起；提示；（给演员）提白
- n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
- adv. 准时地


比较级:  
prompter, promptest 

名 词:  
prompter

名 词:  
promptitude

副 词:  
promptly",
5,"Shadowing","遮蔽",
6,"Redefinition","n. 重新定义",
7,"parameterizing","",
8,"Generics","n. 非专利药物；通用术语（generic的复数）",
9,"Overloading","n. 过载,超载,过负载",
10,"Overriding","adj. 最重要的；高于一切的

副 词:  
overridingly",
11,"Binding","- n. 捆绑；装订；粘合物
- adj. 捆绑的；有约束力的
- v. 捆绑（bind的ing形式）


副 词:  
bindingly

名 词:  
bindingness",
12,"versus","prep. 对",
13,"indicate","- vt. 标示, 指示, 指出
- 象征; 表明或暗示…的可能性

时 态:  
indicated, indicating, indicates 

形容词:  
indicatory",
14,"toss-up","n. 掷钱,难以定夺的事",
15,"polymorphism","n. 多型现象, 多态性

形容词:  
polymorphic  or

副 词:  
polymorphously",
16,"common ancestor","",
17,"Magnitude","- n. 巨大; 重要性
- 〈天〉星等",
18,"combinations","制品",
19,"schemes","- n. 方案，计划；阴谋（scheme的复数）
- v. 计划，设计；谋划（scheme的三单形式）",
20,"Composition","- n. 创作, 写作, 作曲
- 作文, 作品
- 构图; 构成, 成分
- 混合物, 合成物

形容词:  
compositional

副 词:  
compositionally",
21,"squeeze","- vt. & vi. 挤, 榨, 捏
- vt. 榨取, 挤出
- n. 挤, 榨, 捏
- 亲切的拥抱或握手
- 拥挤, 积压
- 缺乏钱或时间等所引致的困难或困苦, 拮据, 短缺

时 态:  
squeezed, squeezing, squeezes 

形容词:  
squeezable

名 词:  
squeezer",
22,"Memory Allocation Strategies","",
23,"halting problem","",
24,"semantic","adj. 语义的；语义学的（等于semantical）


副 词:  
semantically",
25,"overridden","override的过去分词",
26,"Instances","",
27,"associated","adj. 联合的,关联的",
28,"indistinguishable","adj. 难区分的,不能分辨的

名 词:  
indistinguishableness  or

副 词:  
indistinguishably",
29,"mimic","- vt. 模仿，摹拟
- n. 小丑；仿制品；效颦者，模仿者
- adj. 模仿的，模拟的；假装的


时 态:  
mimicked, mimicking, mimics 

名 词:  
mimicker",
30,"functionality","n. 功能性,泛函性",
31,"possess","- vt. 具有
- 占据

时 态:  
possessed, possessing, possesses 

名 词:  
possessor",
32,"Paradox","n. 似非而是的论点；悖论，反论；自相矛盾的人或事


形容词:  
paradoxical

副 词:  
paradoxically

名 词:  
paradoxicalness",
33,"Substitutability","可代换性;可置换性",
34,"Destructor","n. 破坏者,垃圾焚毁炉,爆炸装置",
35,"Constructor","n. 构造器",
36,"the starting line","起跑线",
37,"Substitution","- n. 代替;代用;替换
- 取代(作用);代换,代入
- 代替物;代用品;替换物

形容词:  
substitutional  or

副 词:  
substitutionally",
38,"invoking","v. 祈求；援引；唤起（invoke的ing形式）",
39,"external","- adj. 外部的；表面的；外面的；[药]外用的；外国的
- n. 外部；外面；外观


副 词:  
externally",
40,"Visibility Modifiers","",
41,"embodied","",
42,"concept","n. 概念; 观念; 想法",
43,"override(改写)","",
44,"Contraction","- n. 订约
- (分娩时)子宫收缩
- 收缩,缩短
- 缩减
- 缩略词",
45,"Extension","- n. 延伸, 扩展
- 增加部分
- 电话分机

形容词:  
extensional",
46,"forming","- n. 形成
- v. 形成（form的ing形式）",
47,"Derivation","- n. 发展;起源;派生
- 词源

形容词:  
derivational",
48,"Inheritance","n. 继承物, 遗产",
49,"Default Assignment Operator Function","",
50,"precedence","n. 领先于…的权利;优先权",
51,"unary operation","一元运算",
52,"binary star","双星；双子星",
53,"Operator Overloaded","",
54,"Static Member Function","",
55,"Static Data Member","",
56,"shares instance variables","",
57,"alter","- vt. 改变，更改
- vi. 改变；修改


时 态:  
altered, altering, alters",
58,"Pointer semantics","",
59,"Copy semantics","",
60,"explicitly","adv. 明白地,明确地",
61,"dynamic","- adj. 有活力的, 强有力的
- 不断变化的
- 动力的, 动态的

副 词:  
dynamically",
62,"Heap-based","",
63,"Stack-based","",
64,"allocation","- n. 配给, 分配, 拨出
- 分配额(或量)",
65,"ReferenceName","",
66,"modified","- adj. 改良的；改进的，修改的
- v. 修改；缓和（modify的过去分词）",
67,"hidden pointer","",
68,"elemental","- adj. 自然力的;强大的, 巨大的
- 基本的, 初步的

名 词:  
elemental

副 词:  
elementally",
69,"access members","",
70,"Ambiguous Call","",
71,"takes no arguments","",
72,"type signature","",
73,"invoked","v. 叫唤（invoke的过去式，过去分词）",
74,"initialize","vt. 初始化

时 态:  
initialized, initializing, initializes  

名 词:  
initialization

名 词:  
initializer",
75,"Sequence of Invoking","",
76,"Destructors(析构函数)","",
77,"Constructor Declaration","",
78,"Constructors","",
79,"A Service View","",
80,"encapsulate","- vt. 装入胶囊
- 总结;扼要概括;囊括
- adj. 有(胶)囊包着的

时 态:  
encapsulated, encapsulating, encapsulates 

名 词:  
encapsulation

名 词:  
encapsulator",
81,"arrow sign","",
82,"manipulate","vt. 熟练控制[操作]

时 态:  
manipulated, manipulating, manipulates 

名 词:  
manipulability

形容词:  
manipulatable

形容词:  
manipulative

副 词:  
manipulatively

名 词:  
manipulativeness

名 词:  
manipulator

形容词:  
manipulatory",
83,"genus","n. 类，种；属",
84,"species","- n. 物种；种类
- adj. [生物]物种上的",
85,"visible","- adj. 明显的；看得见的；可得到的；现有的
- n. 可见物；进出口贸易中的有形项目


名 词:  
visibleness

副 词:  
visibly",
86,"precedes","v. 在…之先；优于；领先（precede的三单形式）",
87,"Aggregate","- n. 〈正〉数, 总计
- vt. 总计达…
- vt. & vi. (使)聚集

时 态:  
aggregated, aggregating, aggregates  

副 词:  
aggregately

名 词:  
aggregation

形容词:  
aggregative

名 词:  
aggregator",
88,"access","- n. 通道, 入口
- 接近[取得]…的方法[权利等]
- vt. 存取(计算机文件)
ACCESSabbr. Architects Central Constructional Engineering Surveying Service 建筑师中心建筑工程勘测服务(GLC)
ACCESSabbr. Architects Central Constructional Engineering Surveying Service 建筑师中心建筑工程勘测服务(〈英〉GLC)
Access微软公司生产的数据库软件

时 态:  
accessed, accessing, accesses",
89,"protocol","- n. 礼仪;外交礼仪
- (外交条约的)草案,草约;(尤指)议定的条款,议定书

时 态:  
protocoled, protocolled 
protocoling, protocolling 
protocols, protocols  

形容词:  
protocolar",
90,"interface","- n. 〈计〉接口(连接两装置的电路, 可使数据从一种代码转换成另一种代码)
- 界面, 分界面
INTERFACEabbr. International Recognized Format for Automatic Commercial Exchange 自动商业交换国际识别格式(SITPRO)

时 态:  
interfaced, interfacing, interfaces  

形容词:  
interfacial",
91,"cohesion","n. 内聚力；结合；凝聚


形容词:  
cohesive

副 词:  
cohesively

名 词:  
cohesiveness",
92,"ingredients","",
93,"collaborator","- n. 合作者;共同研究者
- 通敌者",
94,"greet","vt. 欢迎, 迎接, 致意, 问候

时 态:  
greeted, greeting, greets 

名 词:  
greeter",
95,"menus","n. 菜单（menu的复数形式）",
96,"grocery","- n. 杂货业
- 杂货店",
97,"annotate","- vi. 注释；给…作注释或评注
- vt. 注释；作注解


时 态:  
annotated, annotating, annotates 

形容词:  
annotative

名 词:  
annotator",
98,"recipes","",
99,"Browse","- vi. 吃草
- 随意翻阅

时 态:  
browsed, browsing, browses 

名 词:  
browser",
100,"intelligent","adj. 聪明的; 理解力强的

形容词:  
intelligential

副 词:  
intelligently",
101,"interact","vi. 相互作用[影响], 互相配合

时 态:  
interacted, interacting, interacts",
102,"implement","- vt. 使生效, 贯彻, 执行
- n. 工具, 器具, 用具

时 态:  
implemented, implementing, implements  

名 词:  
implementation

名 词:  
implementer",
103,"chief software architect","",
104,"intended","- adj. 故意的，有意的；打算中的
- n. 已订婚者
- v. 打算；准备（intend的过去分词）


副 词:  
intendedly",
105,"Establish","- vt. 建立, 成立
- 安置
- 确定, 证实

时 态:  
established, establishing, establishes 

名 词:  
establisher",
106,"scenarios","脚本",
107,"CRC Cards
 (组件、责任、协作者卡片)","",
108,"entity","n. 实体, 独立存在体, 实际存在物",
109,"component","n. 成分, 组成部分, 部件, 元件

形容词:  
componential",
110,"aspects","n. 相位；方面；面貌（aspect的复数）",
111,"incomplete","adj. 不完全的, 未完成的

副 词:  
incompletely

名 词:  
incompleteness  or",
112,"ambiguous","adj. 引起歧义的; 模棱两可的, 含糊不清的",
113,"responsibility","- n. 责任
- 责任感, 可信赖性
- 职责, 所负责任的事",
114,"preliminary analysis","",
115,"properties","道具",
116,"A Formal Specification","",
117,"Basis","n. 底部；基础；主要成分；基本原则或原理",
118,"Implementation","n. 贯彻，执行",
119,"Implementation(实现)","",
120,"Interface(接口)","",
121,"Cohesion(内聚)","",
122,"Coupling(耦合)","",
123,"Classes","n. 级别，阶级（class复数形式）",
124,"Behavior(行为)","",
125,"element","- n. (化学)元素
- 成分, 要素, 原件
- 一伙人
- 基础, 纲要, 原理",
126,"stateHighs","",
127,"dimensions","规模;尺寸规格",
128,"components","n. 零组件, 成分@adj. 组成的,合成的",
129,"时 态: addressed, addressing, addresses","",
130,"base address","",
131,"subscript","- adj. 下标的,脚注的
- n. 下标,脚注",
132,"array elements","",
133,"One-Dimensional Array","",
134,"initialized","已初始化的",
135,"reached","",
136,"nameable","adj. 可指名的，可命名的；值得注意的；值得纪念的",
137,"global scope","",
138,"declaration","- n. 宣布, 宣告, 声明
- 申报(单)",
139,"Scope","- n. 视野；眼界；范围；余地；导弹射程
- vt. [俚]审视


时 态:  
scoped, scoping, scopes",
140,"pass-by- address","",
141,"pass-by-reference","",
142,"pass-course","旁近路线",
143,"pass-by-value","",
144,"reference frame","n. 坐标系统,参考系",
145,"Parameter List","",
146,"enclosing an argument list.","",
147,"Prototype","n. 原型, 雏形, 蓝本

形容词:  
prototypal",
148,"Count-controlled Loop","",
149,"Statement","- n. 声明, 陈述
- 结算单, 报表",
150,"looping","- n. 循环；回路法；构成环形
- adj. 环状的；循环的
- v. 打成环状；把导线连成回路；缠（loop的ing形式）",
151,"branch","- vt. 分支；出现分歧
- vi. 分支；出现分歧
- n. 树枝，分枝；分部；支流


时 态:  
branched, branching, branches 

形容词:  
branchless

形容词:  
branchy",
152,"terminates output line","",
153,"sets precision to n digits","",
154,"sets field width to n positions","",
155,"right-justified","",
156,"specification","- n. 说明书, 详细的计划书
- 载明, 详述, 说明",
157,"setw","",
158,"rounded","adj. 成圆形的

名 词:  
roundedness",
159,"decimal point","小数点",
160,"argument","n. 争吵；论据；内容提要；论证",
161,"determines","",
162,"manipulatory","adj. 操作的,操纵的,控制的",
163,"Statements","",
164,"via linker","",
165,"via compiler","",
166,"subprograms","",
167,"Current","- adj. 现在的；最近的；草写的；流通的，通用的
- n. 趋势；涌流；（水，气，电）流


副 词:  
currently

名 词:  
currentness",
168,"instructions","n. 操作指南；用法说明",
169,"binary-coded","n. 二进制编码的十进制,二-十进制",
170,"symbols","n. 符号；象征；标志；符号表（symbol的复数）",
171,"coercion","n. 强迫；强制；高压政治；威压


形容词:  
coercionary",
172,"leftassociative","",
173,"Associativity","结合性",
174,"priority","n. 优先；优先权；优先次序；优先考虑的事",
175,"parentheses","n. 圆括号,插入语,插曲",
176,"Addition","n. 添加；增加物；加法


形容词:  
additional

副 词:  
additionally",
177,"Subtraction","n. 减, 减法",
178,"Modulus","n. 系数,模数",
179,"Multiplication","- n. 增多;增加;乘;繁殖
- 乘法

形容词:  
multiplicational",
180,"evaluated","",
181,"constants","",
182,"arrangement","- n. 安排; 解决办法
- 约定; 协议
- 布置好的东西
- 改编曲",
183,"valid","adj. 正当的；有效的，有根据的


名 词:  
validity  or

副 词:  
validly",
184,"allocate","- vt. 分配；拨出；使坐落于
- vi. 分配；指定


时 态:  
allocated, allocating, allocates 

形容词:  
allocable

名 词:  
allocation",
185,"significant","- adj. 重要的, 重大的, 可观的
- 有意义的, 有用意的
- 意味深长的

副 词:  
significantly",
186,"identifier","n. 检验人,标识符",
187,"compilers","",
188,"underscore","- vt. 划线于…下,强调
- n. 底线

时 态:  
underscored, underscoring, underscores",
189,"built-in","adj. 是…的组成部分的; 嵌入式的; 内置的

名 词:  
built-in",
190,"represent","- vt. 表现, 描绘
- 代表, 象征, 表示
- 作为…的代表

时 态:  
represented, representing, represents 

名 词:  
representability

形容词:  
representable

名 词:  
representer",
191,"Integral Types","",
192,"enum","",
193,"reference","- n. 提及, 涉及
- 参考, 查阅
- 引文; 参考书目
- 证明书; 推荐信; 证明人; 推荐人

时 态:  
referenced, referencing, references 

名 词:  
referencer

形容词:  
referential

副 词:  
referentially",
194,"Arithmetic","- n. 算术
- 计算

形容词:  
arithmetic

副 词:  
arithmetically

名 词:  
arithmetician",
195,"Numeric","adj. 数字的",
